2025-07-01 15:09:47.055081 - [*] Starting scan on local from port 80 to 223...
2025-07-01 15:09:48.408346 - [!] Error scanning port 169 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 126 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 148 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 146 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 178 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 164 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 99 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 185 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 131 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 187 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 130 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 197 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 127 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.410353 - [!] Error scanning port 96 on local: [Errno 11001] getaddrinfo failed

2025-07-01 15:09:48.410353 - [!] Error scanning port 204 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.411352 - [!] Error scanning port 215 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.411352 - [!] Error scanning port 205 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.411352 - [!] Error scanning port 221 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.411352 - [!] Error scanning port 182 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 201 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 211 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 181 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 209 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 189 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 184 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 194 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 218 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 192 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 223 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 94 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.412352 - [!] Error scanning port 180 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 222 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 214 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 190 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 216 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 195 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 207 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 191 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 193 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 217 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.413512 - [!] Error scanning port 219 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.414510 - [!] Error scanning port 220 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.769835 - [!] Error scanning port 92 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.769835 - [!] Error scanning port 86 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.769835 - [!] Error scanning port 85 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.769835 - [!] Error scanning port 95 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.769835 - [!] Error scanning port 84 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.783224 - [!] Error scanning port 88 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.784227 - [!] Error scanning port 82 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.784227 - [!] Error scanning port 83 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 81 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 87 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 80 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 104 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 90 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 107 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 89 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 91 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:49.785225 - [!] Error scanning port 106 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:19:55.809852 - [*] Starting scan on local from port 80 to 80...
2025-07-01 15:19:58.518596 - [!] Error scanning port 80 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:05.470614 - [*] Starting scan on local from port 80 to 223...
2025-07-01 15:20:06.780627 - [!] Error scanning port 111 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.781626 - [!] Error scanning port 113 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.782626 - [!] Error scanning port 109 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.782626 - [!] Error scanning port 110 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.783870 - [!] Error scanning port 115 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.784868 - [!] Error scanning port 119 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.796123 - [!] Error scanning port 114 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.796123 - [!] Error scanning port 118 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.796123 - [!] Error scanning port 121 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.797121 - [!] Error scanning port 131 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.798127 - [!] Error scanning port 122 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.798127 - [!] Error scanning port 117 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.799123 - [!] Error scanning port 123 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.801502 - [!] Error scanning port 116 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.803497 - [!] Error scanning port 124 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.803497 - [!] Error scanning port 120 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.804502 - [!] Error scanning port 132 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.805502 - [!] Error scanning port 125 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.806498 - [!] Error scanning port 126 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.806498 - [!] Error scanning port 129 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.807500 - [!] Error scanning port 133 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.808496 - [!] Error scanning port 136 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.808496 - [!] Error scanning port 143 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.809498 - [!] Error scanning port 141 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.809498 - [!] Error scanning port 134 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.809498 - [!] Error scanning port 140 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.809498 - [!] Error scanning port 128 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.810498 - [!] Error scanning port 138 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.810498 - [!] Error scanning port 137 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.810498 - [!] Error scanning port 135 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.810498 - [!] Error scanning port 139 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.814708 - [!] Error scanning port 156 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.814708 - [!] Error scanning port 152 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.815707 - [!] Error scanning port 161 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.815707 - [!] Error scanning port 160 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.816710 - [!] Error scanning port 85 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.816710 - [!] Error scanning port 175 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.816710 - [!] Error scanning port 164 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 91 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 159 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 174 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 176 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 169 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 177 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.817797 - [!] Error scanning port 155 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.818794 - [!] Error scanning port 172 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.818794 - [!] Error scanning port 168 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.818794 - [!] Error scanning port 163 on local: [Errno 11001] getaddrinfo failed
